,Invoice_ID,Client_Name,Billing_Clerk,Region,Freight_Amount,Billed_Amount,Status,Region_Manager,Date_Processed,Error_Flag
23,INV1023,Xyz Ltd,Alex P,Calgary,473.47,473.47,Pending,Steve,2023-10-19,False
24,INV1024,Greenline,Naman Goyal,Montreal,3212.18,3212.18,Pending,Nora,2023-10-08,False
25,INV1025,Abc Corp,John D,Montreal,4062.2,4062.2,Approved,Nora,2023-08-09,False
26,INV1026,Ab Trucks,Ravi K,Vancouver,1831.32,1831.32,Pending,Maria,2023-03-12,False
27,INV1027,Xyz Ltd,John D,Calgary,448.8,448.8,Pending,Steve,2023-10-21,False
28,INV1028,Roadx,Naman Goyal,Calgary,3491.91,3491.91,Approved,Steve,2023-12-07,False
29,INV1029,Greenline,Leah T,Vancouver,1762.71,1771.71,Approved,Maria,2023-10-19,True
30,INV1030,Ab Trucks,Ravi K,Windsor,1320.57,1320.57,Pending,Kathy,2023-05-11,False
31,INV1031,Abc Corp,John D,Calgary,3476.99,3476.99,Pending,Steve,2023-08-30,False
32,INV1032,Abc Corp,Leah T,Windsor,4850.97,4850.97,Pending,Kathy,2023-11-23,False
33,INV1033,Fastship,Naman Goyal,Windsor,3752.08,3752.08,Approved,Kathy,2023-06-09,False
34,INV1034,Fastship,John D,Montreal,2507.62,2507.62,Flagged,Nora,2023-12-01,False
35,INV1035,Ab Trucks,Alex P,Montreal,3042.5,3042.5,Flagged,Nora,2023-05-29,False
36,INV1036,Xyz Ltd,Leah T,Toronto,797.17,797.17,Flagged,David,2023-01-19,False
37,INV1037,Ab Trucks,Naman Goyal,Montreal,4084.75,4084.75,Flagged,Nora,2023-03-23,False
38,INV1038,Ab Trucks,John D,Calgary,3061.05,3061.05,Flagged,Steve,2023-06-13,False
39,INV1039,Quickmove,Alex P,Calgary,4832.57,4832.57,Pending,Steve,2023-10-05,False
40,INV1040,Roadx,Alex P,Windsor,4899.47,4899.47,Flagged,Kathy,2023-11-15,False
41,INV1041,Roadx,Naman Goyal,Calgary,1837.47,1837.47,Pending,Steve,2023-01-30,False
42,INV1042,Quickmove,Sonia M,Montreal,4943.88,4943.88,Approved,Nora,2023-09-15,False
43,INV1043,Roadx,Ravi K,Montreal,4788.48,4788.48,Approved,Nora,2023-02-23,False
44,INV1044,Fastship,Naman Goyal,Montreal,3235.18,3215.18,Flagged,Nora,2023-05-19,True
45,INV1045,Ab Trucks,Alex P,Vancouver,1733.98,1733.98,Approved,Maria,2023-12-06,False
46,INV1046,Quickmove,Alex P,Calgary,3791.37,3791.37,Pending,Steve,2023-05-12,False
47,INV1047,Ab Trucks,Naman Goyal,Toronto,1429.06,1429.06,Flagged,David,2023-10-22,False
48,INV1048,Abc Corp,Sonia M,Calgary,3186.24,3186.24,Flagged,Steve,2023-04-13,False
49,INV1049,Fastship,Ravi K,Calgary,220.45,241.45,Pending,Steve,2023-07-27,True
50,INV1050,Greenline,John D,Vancouver,3180.06,3180.06,Pending,Maria,2023-08-04,False
51,INV1051,Fastship,Naman Goyal,Calgary,4762.88,4762.88,Pending,Steve,2023-10-26,False
52,INV1052,Quickmove,Ravi K,Windsor,1252.2,1252.2,Flagged,Kathy,2023-01-30,False
53,INV1053,Greenline,Ravi K,Montreal,3913.08,3913.08,Approved,Nora,2023-07-07,False
54,INV1054,Abc Corp,Leah T,Montreal,1537.78,1537.78,Approved,Nora,2023-04-07,False
55,INV1055,Quickmove,Alex P,Vancouver,3568.46,3568.46,Approved,Maria,2023-07-06,False
56,INV1056,Xyz Ltd,John D,Montreal,3529.86,3529.86,Approved,Nora,2023-08-14,False
57,INV1057,Ab Trucks,Naman Goyal,Windsor,1005.21,1016.21,Flagged,Kathy,2023-12-04,True
58,INV1058,Abc Corp,Alex P,Vancouver,3025.93,3013.93,Pending,Maria,2023-10-09,True
59,INV1059,Ab Trucks,Leah T,Toronto,4309.93,4309.93,Approved,David,2023-08-18,False
60,INV1060,Roadx,Leah T,Montreal,1974.41,1974.41,Flagged,Nora,2023-05-01,False
61,INV1061,Xyz Ltd,Alex P,Calgary,3580.36,3580.36,Flagged,Steve,2023-05-25,False
62,INV1062,Xyz Ltd,Sonia M,Windsor,3404.71,3404.71,Approved,Kathy,2023-01-26,False
63,INV1063,Abc Corp,Ravi K,Windsor,1361.82,1361.82,Pending,Kathy,2023-07-17,False
64,INV1064,Xyz Ltd,Naman Goyal,Montreal,4601.35,4601.35,Pending,Nora,2023-01-09,False
65,INV1065,Greenline,Naman Goyal,Toronto,2861.21,2861.21,Flagged,David,2023-01-15,False
66,INV1066,Xyz Ltd,Naman Goyal,Calgary,1840.93,1840.93,Pending,Steve,2023-10-03,False
67,INV1067,Ab Trucks,Alex P,Toronto,905.36,905.36,Flagged,David,2023-01-24,False
68,INV1068,Ab Trucks,Sonia M,Toronto,2419.95,2419.95,Pending,David,2023-06-05,False
69,INV1069,Quickmove,John D,Montreal,3677.56,3677.56,Approved,Nora,2023-10-11,False
70,INV1070,Ab Trucks,Leah T,Calgary,3155.84,3155.84,Pending,Steve,2023-04-22,False
71,INV1071,Quickmove,Alex P,Montreal,3662.56,3662.56,Approved,Nora,2023-03-25,False
72,INV1072,Ab Trucks,John D,Montreal,3979.63,3979.63,Approved,Nora,2023-02-19,False
73,INV1073,Greenline,Leah T,Windsor,2260.92,2260.92,Flagged,Kathy,2023-09-17,False
74,INV1074,Quickmove,Leah T,Montreal,2648.81,2648.81,Approved,Nora,2023-10-14,False
75,INV1075,Fastship,Sonia M,Vancouver,4933.47,4957.47,Flagged,Maria,2023-09-01,True
76,INV1076,Roadx,Ravi K,Calgary,4843.45,4843.45,Approved,Steve,2023-04-12,False
77,INV1077,Abc Corp,Naman Goyal,Windsor,2132.6,2132.6,Approved,Kathy,2023-06-27,False
78,INV1078,Ab Trucks,John D,Calgary,3457.38,3421.38,Approved,Steve,2023-05-31,True
79,INV1079,Xyz Ltd,Alex P,Windsor,1411.19,1411.19,Pending,Kathy,2023-08-03,False
80,INV1080,Ab Trucks,John D,Vancouver,848.22,848.22,Pending,Maria,2023-09-11,False
81,INV1081,Xyz Ltd,Ravi K,Montreal,3865.17,3869.17,Pending,Nora,2023-06-22,True
82,INV1082,Roadx,Naman Goyal,Windsor,2237.28,2237.28,Flagged,Kathy,2023-02-28,False
83,INV1083,Roadx,John D,Windsor,967.56,967.56,Approved,Kathy,2023-09-09,False
84,INV1084,Roadx,Ravi K,Windsor,3818.35,3818.35,Flagged,Kathy,2023-03-28,False
85,INV1085,Xyz Ltd,Alex P,Vancouver,4584.33,4584.33,Approved,Maria,2023-11-19,False
86,INV1086,Ab Trucks,Sonia M,Calgary,4673.04,4673.04,Approved,Steve,2023-07-17,False
87,INV1087,Roadx,Leah T,Vancouver,3022.04,3022.04,Flagged,Maria,2023-08-29,False
88,INV1088,Greenline,Alex P,Windsor,2450.24,2450.24,Flagged,Kathy,2023-12-03,False
89,INV1089,Quickmove,Naman Goyal,Windsor,795.15,795.15,Pending,Kathy,2023-03-26,False
90,INV1090,Xyz Ltd,Leah T,Montreal,3984.67,3984.67,Flagged,Nora,2023-12-10,False
91,INV1091,Xyz Ltd,Alex P,Vancouver,4732.08,4732.08,Approved,Maria,2023-07-06,False
92,INV1092,Ab Trucks,Alex P,Vancouver,4458.36,4458.36,Flagged,Maria,2023-11-19,False
93,INV1093,Xyz Ltd,Alex P,Toronto,3783.74,3783.74,Pending,David,2023-08-22,False
94,INV1094,Xyz Ltd,Alex P,Calgary,122.39,100.39,Approved,Steve,2023-09-03,True
95,INV1095,Roadx,Leah T,Toronto,2097.98,2097.98,Approved,David,2023-02-20,False
96,INV1096,Xyz Ltd,Naman Goyal,Toronto,2112.5,2112.5,Approved,David,2023-07-22,False
97,INV1097,Roadx,Ravi K,Calgary,4482.4,4482.4,Flagged,Steve,2023-07-18,False
98,INV1098,Quickmove,John D,Montreal,421.69,421.69,Approved,Nora,2023-01-30,False
99,INV1099,Quickmove,Naman Goyal,Montreal,2702.99,2702.99,Approved,Nora,2023-10-19,False
100,INV1100,Roadx,John D,Calgary,767.06,767.06,Flagged,Steve,2023-12-04,False
101,INV1101,Quickmove,John D,Calgary,3345.24,3345.24,Approved,Steve,2023-06-15,False
102,INV1102,Ab Trucks,Sonia M,Vancouver,3982.05,3982.05,Flagged,Maria,2023-04-18,False
103,INV1103,Abc Corp,Leah T,Vancouver,3245.6,3234.6,Flagged,Maria,2023-04-28,True
104,INV1104,Roadx,Naman Goyal,Vancouver,3993.47,3993.47,Pending,Maria,2023-03-22,False
105,INV1105,Greenline,Sonia M,Vancouver,3076.73,3076.73,Approved,Maria,2023-01-18,False
106,INV1106,Greenline,Naman Goyal,Windsor,1030.21,1030.21,Flagged,Kathy,2023-05-13,False
107,INV1107,Xyz Ltd,Leah T,Windsor,1975.05,1975.05,Pending,Kathy,2023-09-09,False
108,INV1108,Quickmove,John D,Montreal,4788.66,4788.66,Flagged,Nora,2023-12-15,False
109,INV1109,Greenline,Naman Goyal,Windsor,1512.06,1512.06,Approved,Kathy,2023-07-29,False
110,INV1110,Xyz Ltd,Leah T,Windsor,408.03,369.03,Pending,Kathy,2023-10-07,True
111,INV1111,Abc Corp,Leah T,Vancouver,1985.67,1985.67,Flagged,Maria,2023-07-08,False
112,INV1112,Ab Trucks,Ravi K,Vancouver,1894.9,1894.9,Pending,Maria,2023-11-12,False
113,INV1113,Ab Trucks,Sonia M,Calgary,2404.51,2404.51,Approved,Steve,2023-02-04,False
114,INV1114,Ab Trucks,Ravi K,Vancouver,2845.49,2795.49,Flagged,Maria,2023-05-16,True
115,INV1115,Greenline,John D,Calgary,4962.87,4962.87,Approved,Steve,2023-05-16,False
116,INV1116,Abc Corp,Sonia M,Calgary,3805.55,3805.55,Flagged,Steve,2023-07-13,False
117,INV1117,Greenline,John D,Windsor,275.86,275.86,Pending,Kathy,2023-03-26,False
118,INV1118,Quickmove,Ravi K,Vancouver,3592.29,3592.29,Pending,Maria,2023-09-02,False
119,INV1119,Greenline,Leah T,Windsor,4138.74,4138.74,Pending,Kathy,2023-06-18,False
120,INV1120,Abc Corp,John D,Vancouver,4488.59,4488.59,Flagged,Maria,2023-03-26,False
121,INV1121,Abc Corp,Sonia M,Windsor,2177.63,2177.63,Flagged,Kathy,2023-03-21,False
122,INV1122,Quickmove,Sonia M,Windsor,1636.77,1636.77,Approved,Kathy,2023-12-16,False
123,INV1123,Abc Corp,John D,Windsor,4212.69,4234.69,Approved,Kathy,2023-07-17,True
124,INV1124,Abc Corp,Sonia M,Montreal,3910.32,3910.32,Flagged,Nora,2023-07-03,False
125,INV1125,Ab Trucks,Leah T,Windsor,2726.61,2726.61,Pending,Kathy,2023-01-09,False
126,INV1126,Quickmove,Leah T,Toronto,677.63,677.63,Flagged,David,2023-10-10,False
127,INV1127,Fastship,Sonia M,Toronto,3293.63,3296.63,Pending,David,2023-09-20,True
128,INV1128,Fastship,John D,Toronto,421.77,421.77,Approved,David,2023-10-18,False
129,INV1129,Abc Corp,Ravi K,Calgary,591.8,591.8,Pending,Steve,2023-07-17,False
130,INV1130,Fastship,Sonia M,Windsor,1722.59,1722.59,Flagged,Kathy,2023-03-31,False
131,INV1131,Fastship,Sonia M,Toronto,1918.76,1918.76,Pending,David,2023-09-06,False
132,INV1132,Abc Corp,Sonia M,Calgary,2363.67,2363.67,Approved,Steve,2023-05-08,False
133,INV1133,Fastship,Sonia M,Toronto,1761.8,1761.8,Pending,David,2023-07-25,False
134,INV1134,Greenline,John D,Vancouver,265.56,265.56,Flagged,Maria,2023-02-09,False
135,INV1135,Xyz Ltd,Ravi K,Montreal,871.34,871.34,Flagged,Nora,2023-03-24,False
136,INV1136,Quickmove,Ravi K,Windsor,664.05,664.05,Pending,Kathy,2023-11-17,False
137,INV1137,Xyz Ltd,Naman Goyal,Montreal,2212.8,2212.8,Flagged,Nora,2023-04-14,False
138,INV1138,Abc Corp,Sonia M,Montreal,1139.43,1139.43,Approved,Nora,2023-01-07,False
139,INV1139,Ab Trucks,Sonia M,Vancouver,1538.37,1538.37,Pending,Maria,2023-02-12,False
140,INV1140,Quickmove,Naman Goyal,Vancouver,2410.68,2386.68,Pending,Maria,2023-04-02,True
141,INV1141,Abc Corp,Ravi K,Vancouver,1254.25,1254.25,Pending,Maria,2023-02-18,False
142,INV1142,Ab Trucks,Alex P,Calgary,1305.05,1305.05,Flagged,Steve,2023-07-03,False
143,INV1143,Xyz Ltd,Leah T,Toronto,4182.41,4182.41,Pending,David,2023-07-03,False
144,INV1144,Abc Corp,Alex P,Windsor,2785.63,2785.63,Pending,Kathy,2023-07-02,False
145,INV1145,Quickmove,Ravi K,Vancouver,4298.12,4298.12,Pending,Maria,2023-09-14,False
146,INV1146,Quickmove,Sonia M,Windsor,2621.18,2621.18,Pending,Kathy,2023-04-18,False
147,INV1147,Roadx,Alex P,Windsor,4555.39,4555.39,Approved,Kathy,2023-10-26,False
148,INV1148,Greenline,John D,Windsor,1348.24,1348.24,Flagged,Kathy,2023-01-13,False
149,INV1149,Fastship,John D,Vancouver,3121.68,3121.68,Approved,Maria,2023-06-08,False
150,INV1150,Ab Trucks,Naman Goyal,Vancouver,2565.84,2565.84,Pending,Maria,2023-08-15,False
151,INV1151,Roadx,Ravi K,Toronto,4601.59,4601.59,Flagged,David,2023-03-20,False
152,INV1152,Fastship,Ravi K,Vancouver,2150.55,2150.55,Pending,Maria,2023-08-02,False
153,INV1153,Fastship,Alex P,Vancouver,4288.64,4288.64,Approved,Maria,2023-06-16,False
154,INV1154,Abc Corp,Sonia M,Windsor,2863.13,2863.13,Pending,Kathy,2023-12-03,False
155,INV1155,Fastship,Ravi K,Toronto,3571.86,3571.86,Approved,David,2023-12-31,False
156,INV1156,Greenline,Alex P,Montreal,4445.78,4445.78,Approved,Nora,2023-10-11,False
157,INV1157,Quickmove,Alex P,Vancouver,4984.84,4984.84,Flagged,Maria,2023-10-14,False
158,INV1158,Roadx,Leah T,Vancouver,3682.58,3730.58,Pending,Maria,2023-05-21,True
159,INV1159,Fastship,Leah T,Montreal,1641.16,1658.16,Pending,Nora,2024-01-01,True
160,INV1160,Abc Corp,Ravi K,Windsor,1565.16,1595.16,Pending,Kathy,2023-12-30,True
161,INV1161,Greenline,Alex P,Toronto,1614.61,1600.61,Flagged,David,2023-04-19,True
162,INV1162,Xyz Ltd,Naman Goyal,Windsor,579.75,608.75,Approved,Kathy,2023-12-27,True
163,INV1163,Quickmove,Naman Goyal,Calgary,362.63,362.63,Flagged,Steve,2023-06-14,False
164,INV1164,Quickmove,Leah T,Vancouver,2946.13,2946.13,Flagged,Maria,2023-09-18,False
165,INV1165,Roadx,Ravi K,Calgary,4071.88,4071.88,Approved,Steve,2023-01-29,False
166,INV1166,Quickmove,Sonia M,Vancouver,277.06,277.06,Pending,Maria,2023-08-27,False
167,INV1167,Fastship,Naman Goyal,Calgary,2876.51,2876.51,Approved,Steve,2023-10-22,False
168,INV1168,Abc Corp,Naman Goyal,Montreal,1921.63,1921.63,Approved,Nora,2023-05-16,False
169,INV1169,Quickmove,Leah T,Vancouver,4473.18,4427.18,Approved,Maria,2023-10-01,True
170,INV1170,Quickmove,Leah T,Vancouver,812.4,812.4,Pending,Maria,2023-10-09,False
171,INV1171,Xyz Ltd,Ravi K,Calgary,2860.82,2860.82,Approved,Steve,2023-03-06,False
172,INV1172,Xyz Ltd,Leah T,Toronto,4857.51,4857.51,Flagged,David,2023-08-10,False
173,INV1173,Ab Trucks,John D,Calgary,1790.66,1790.66,Approved,Steve,2023-03-04,False
174,INV1174,Greenline,Alex P,Vancouver,3734.71,3734.71,Pending,Maria,2023-07-25,False
175,INV1175,Fastship,Naman Goyal,Vancouver,4424.01,4424.01,Flagged,Maria,2023-02-24,False
176,INV1176,Quickmove,John D,Toronto,1012.43,1012.43,Pending,David,2023-07-03,False
177,INV1177,Quickmove,Sonia M,Windsor,4963.38,4963.38,Flagged,Kathy,2023-10-26,False
178,INV1178,Abc Corp,John D,Toronto,4065.99,4065.99,Pending,David,2023-09-12,False
179,INV1179,Ab Trucks,Ravi K,Windsor,774.06,774.06,Pending,Kathy,2023-02-22,False
180,INV1180,Greenline,Sonia M,Vancouver,1623.34,1623.34,Pending,Maria,2023-05-19,False
181,INV1181,Ab Trucks,Sonia M,Montreal,3162.35,3162.35,Pending,Nora,2023-10-01,False
182,INV1182,Roadx,Leah T,Montreal,4436.1,4436.1,Flagged,Nora,2023-05-13,False
183,INV1183,Greenline,John D,Calgary,1054.69,1054.69,Pending,Steve,2023-06-10,False
184,INV1184,Quickmove,Ravi K,Toronto,3682.91,3712.91,Flagged,David,2023-11-27,True
185,INV1185,Quickmove,Naman Goyal,Toronto,1426.18,1378.18,Approved,David,2023-01-16,True
186,INV1186,Greenline,Leah T,Montreal,4046.54,4046.54,Flagged,Nora,2023-09-23,False
187,INV1187,Quickmove,John D,Windsor,3448.87,3448.87,Approved,Kathy,2023-11-25,False
188,INV1188,Fastship,Naman Goyal,Toronto,2662.25,2705.25,Flagged,David,2023-03-13,True
189,INV1189,Greenline,John D,Windsor,3284.34,3265.34,Approved,Kathy,2023-09-16,True
190,INV1190,Ab Trucks,Leah T,Windsor,4394.58,4394.58,Flagged,Kathy,2023-02-28,False
191,INV1191,Greenline,Naman Goyal,Windsor,1993.49,1993.49,Flagged,Kathy,2023-08-20,False
192,INV1192,Quickmove,Leah T,Windsor,3869.33,3834.33,Flagged,Kathy,2023-07-06,True
193,INV1193,Fastship,John D,Calgary,878.64,878.64,Flagged,Steve,2023-11-26,False
194,INV1194,Fastship,Sonia M,Calgary,3535.81,3535.81,Approved,Steve,2023-06-25,False
195,INV1195,Roadx,Alex P,Montreal,3778.22,3772.22,Pending,Nora,2023-05-17,True
196,INV1196,Ab Trucks,Sonia M,Calgary,2270.69,2270.69,Flagged,Steve,2023-03-29,False
197,INV1197,Xyz Ltd,Leah T,Toronto,3988.75,3988.75,Approved,David,2023-11-21,False
198,INV1198,Xyz Ltd,Leah T,Calgary,2829.81,2829.81,Flagged,Steve,2023-05-10,False
199,INV1199,Greenline,Leah T,Toronto,4687.74,4687.74,Pending,David,2023-04-05,False
200,INV1200,Roadx,Naman Goyal,Toronto,651.09,651.09,Approved,David,2023-03-29,False
201,INV1201,Abc Corp,Sonia M,Windsor,741.02,785.02,Approved,Kathy,2023-05-25,True
202,INV1202,Greenline,Leah T,Montreal,4227.89,4227.89,Approved,Nora,2023-09-25,False
203,INV1203,Roadx,Sonia M,Windsor,4227.57,4227.57,Flagged,Kathy,2023-05-27,False
204,INV1204,Abc Corp,Alex P,Windsor,2409.0,2409.0,Pending,Kathy,2023-12-22,False
205,INV1205,Ab Trucks,Leah T,Calgary,4823.41,4823.41,Pending,Steve,2023-01-01,False
206,INV1206,Ab Trucks,Leah T,Calgary,3429.01,3429.01,Pending,Steve,2023-04-17,False
207,INV1207,Ab Trucks,Leah T,Toronto,4915.98,4939.98,Flagged,David,2023-12-05,True
208,INV1208,Ab Trucks,Naman Goyal,Calgary,2708.74,2708.74,Flagged,Steve,2023-12-09,False
209,INV1209,Roadx,Leah T,Calgary,1087.91,1087.91,Approved,Steve,2023-12-12,False
210,INV1210,Roadx,Sonia M,Vancouver,2277.53,2320.53,Flagged,Maria,2023-11-04,True
211,INV1211,Fastship,John D,Toronto,4904.39,4904.39,Approved,David,2023-12-03,False
212,INV1212,Xyz Ltd,Ravi K,Toronto,1915.03,1915.03,Pending,David,2023-10-23,False
213,INV1213,Quickmove,Leah T,Vancouver,4789.38,4789.38,Flagged,Maria,2023-04-30,False
214,INV1214,Ab Trucks,Naman Goyal,Toronto,4005.4,4005.4,Pending,David,2023-04-23,False
215,INV1215,Abc Corp,Sonia M,Montreal,2266.32,2266.32,Flagged,Nora,2023-03-26,False
216,INV1216,Quickmove,Leah T,Montreal,2755.17,2755.17,Flagged,Nora,2023-06-14,False
217,INV1217,Roadx,Naman Goyal,Vancouver,3076.45,3091.45,Approved,Maria,2023-08-31,True
218,INV1218,Abc Corp,John D,Calgary,3362.25,3362.25,Flagged,Steve,2023-11-05,False
219,INV1219,Abc Corp,Alex P,Montreal,475.83,475.83,Pending,Nora,2023-04-23,False
220,INV1220,Abc Corp,Leah T,Vancouver,4674.58,4674.58,Flagged,Maria,2023-02-01,False
221,INV1221,Fastship,Sonia M,Montreal,3025.3,3025.3,Pending,Nora,2023-12-05,False
222,INV1222,Roadx,Naman Goyal,Windsor,4662.63,4662.63,Flagged,Kathy,2023-02-06,False
223,INV1223,Abc Corp,Naman Goyal,Vancouver,3196.3,3196.3,Pending,Maria,2023-07-17,False
224,INV1224,Xyz Ltd,Leah T,Toronto,2211.98,2211.98,Pending,David,2023-01-05,False
225,INV1225,Greenline,Naman Goyal,Montreal,2877.95,2877.95,Pending,Nora,2023-07-29,False
226,INV1226,Abc Corp,Alex P,Toronto,4164.57,4164.57,Flagged,David,2023-03-12,False
227,INV1227,Fastship,Naman Goyal,Vancouver,1698.02,1698.02,Approved,Maria,2023-02-23,False
228,INV1228,Quickmove,Ravi K,Montreal,4786.65,4800.65,Pending,Nora,2023-08-02,True
229,INV1229,Roadx,Ravi K,Toronto,2383.18,2383.18,Pending,David,2023-07-02,False
230,INV1230,Fastship,Naman Goyal,Calgary,4785.56,4785.56,Approved,Steve,2023-03-07,False
231,INV1231,Abc Corp,Leah T,Calgary,4415.71,4415.71,Pending,Steve,2023-10-19,False
232,INV1232,Roadx,Ravi K,Windsor,3861.54,3861.54,Pending,Kathy,2023-10-26,False
233,INV1233,Greenline,Sonia M,Vancouver,2390.45,2390.45,Flagged,Maria,2023-05-25,False
234,INV1234,Abc Corp,Ravi K,Toronto,2976.03,2938.03,Approved,David,2023-12-21,True
235,INV1235,Fastship,Naman Goyal,Windsor,4206.34,4206.34,Pending,Kathy,2023-04-26,False
236,INV1236,Xyz Ltd,Leah T,Vancouver,2765.87,2765.87,Flagged,Maria,2023-10-28,False
237,INV1237,Ab Trucks,John D,Calgary,3717.13,3717.13,Flagged,Steve,2023-05-26,False
238,INV1238,Quickmove,Leah T,Toronto,3974.23,4017.23,Flagged,David,2023-08-27,True
239,INV1239,Fastship,Leah T,Montreal,2614.17,2614.17,Flagged,Nora,2023-08-01,False
240,INV1240,Roadx,Leah T,Calgary,2727.61,2727.61,Approved,Steve,2023-09-12,False
241,INV1241,Abc Corp,Sonia M,Montreal,1069.39,1066.39,Approved,Nora,2023-10-11,True
242,INV1242,Ab Trucks,Alex P,Montreal,1299.22,1299.22,Flagged,Nora,2023-11-26,False
243,INV1243,Abc Corp,Naman Goyal,Toronto,4534.22,4535.22,Approved,David,2023-07-26,True
244,INV1244,Roadx,Alex P,Toronto,4217.62,4217.62,Flagged,David,2023-07-07,False
245,INV1245,Abc Corp,John D,Montreal,149.6,149.6,Pending,Nora,2023-06-20,False
246,INV1246,Xyz Ltd,Alex P,Windsor,4360.0,4360.0,Pending,Kathy,2023-01-08,False
247,INV1247,Ab Trucks,Naman Goyal,Montreal,223.65,223.65,Flagged,Nora,2023-05-29,False
248,INV1248,Ab Trucks,Naman Goyal,Montreal,2345.57,2345.57,Pending,Nora,2023-02-19,False
249,INV1249,Roadx,John D,Toronto,430.42,430.42,Flagged,David,2023-07-03,False
250,INV1250,Quickmove,Naman Goyal,Vancouver,4847.23,4847.23,Pending,Maria,2023-07-23,False
251,INV1251,Xyz Ltd,John D,Calgary,4864.36,4864.36,Pending,Steve,2023-06-08,False
252,INV1252,Fastship,John D,Toronto,3093.27,3093.27,Approved,David,2023-03-09,False
253,INV1253,Abc Corp,Naman Goyal,Windsor,2021.8,2021.8,Flagged,Kathy,2023-07-10,False
254,INV1254,Greenline,Ravi K,Calgary,2608.76,2608.76,Approved,Steve,2023-01-15,False
255,INV1255,Abc Corp,John D,Toronto,3835.27,3835.27,Flagged,David,2023-03-10,False
256,INV1256,Abc Corp,Naman Goyal,Toronto,1193.65,1190.65,Pending,David,2023-04-23,True
257,INV1257,Fastship,Ravi K,Vancouver,2264.44,2264.44,Flagged,Maria,2023-11-19,False
258,INV1258,Abc Corp,John D,Windsor,3712.62,3712.62,Flagged,Kathy,2023-12-17,False
259,INV1259,Xyz Ltd,Ravi K,Windsor,2037.42,2023.42,Flagged,Kathy,2023-06-09,True
260,INV1260,Xyz Ltd,Sonia M,Toronto,256.78,256.78,Flagged,David,2023-04-04,False
261,INV1261,Ab Trucks,Leah T,Vancouver,2586.23,2603.23,Pending,Maria,2023-07-04,True
262,INV1262,Roadx,Sonia M,Toronto,3713.31,3686.31,Pending,David,2023-07-23,True
263,INV1263,Quickmove,Ravi K,Montreal,4886.4,4886.4,Approved,Nora,2023-01-12,False
264,INV1264,Greenline,John D,Montreal,281.53,281.53,Flagged,Nora,2023-10-15,False
265,INV1265,Abc Corp,Naman Goyal,Vancouver,2745.61,2745.61,Approved,Maria,2023-12-02,False
266,INV1266,Abc Corp,Alex P,Toronto,2304.7,2304.7,Pending,David,2023-12-19,False
267,INV1267,Fastship,Naman Goyal,Vancouver,1288.0,1288.0,Pending,Maria,2023-10-17,False
268,INV1268,Roadx,Alex P,Toronto,3225.04,3225.04,Flagged,David,2023-07-11,False
269,INV1269,Xyz Ltd,Alex P,Toronto,901.75,916.75,Flagged,David,2023-05-30,True
270,INV1270,Greenline,John D,Montreal,1490.94,1490.94,Approved,Nora,2023-05-06,False
