Invoice_ID,Client_Name,Billing_Clerk,Region,Freight_Amount,Billed_Amount,Status,Region_Manager,Date_Processed,Error_Flag
INV1075,FastShip,Sonia M,Vancouver,4933.47,4957.47,Flagged,Maria,2023-09-01,Yes
INV1076,RoadX,Ravi K,Calgary,4843.45,4843.45,Approved,Steve,2023-04-12,No
INV1077,ABC Corp,Naman Goyal,Windsor,2132.6,2132.6,Approved,Kathy,2023-06-27,No
INV1078,AB Trucks,John D,Calgary,3457.38,3421.38,Approved,Steve,2023-05-31,Yes
INV1079,XYZ Ltd,Alex P,Windsor,1411.19,1411.19,Pending,Kathy,2023-08-03,No
INV1080,AB Trucks,John D,Vancouver,848.22,848.22,Pending,Maria,2023-09-11,No
INV1081,XYZ Ltd,Ravi K,Montreal,3865.17,3869.17,,Nora,2023-06-22,Yes
INV1082,RoadX,Naman Goyal,Windsor,2237.28,2237.28,Flagged,Kathy,2023-02-28,No
INV1083,RoadX,John D,Windsor,967.56,967.56,Approved,Kathy,2023-09-09,No
INV1084,RoadX,Ravi K,Windsor,3818.35,3818.35,Flagged,Kathy,2023-03-28,Yes
INV1085,XYZ Ltd,,Vancouver,4584.33,4584.33,Approved,Maria,2023-11-19,No
INV1086,AB Trucks,Sonia M,Calgary,4673.04,4673.04,Approved,Steve,2023-07-17,No
INV1087,RoadX,Leah T,Vancouver,3022.04,3022.04,Flagged,Maria,2023-08-29,No
INV1088,GreenLine,Alex P,Windsor,2450.24,2450.24,Flagged,Kathy,2023-12-03,No
INV1089,QuickMove,Naman Goyal,Windsor,795.15,795.15,Pending,Kathy,2023-03-26,No
INV1090,XYZ Ltd,Leah T,Montreal,3984.67,3984.67,Flagged,Nora,2023-12-10,No
INV1091,XYZ Ltd,Alex P,Vancouver,4732.08,4732.08,Approved,Maria,2023-07-06,No
INV1092,AB Trucks,Alex P,Vancouver,4458.36,4458.36,Flagged,Maria,2023-11-19,No
INV1093,XYZ Ltd,Alex P,Toronto,3783.74,3783.74,Pending,David,2023-08-22,No
INV1094,XYZ Ltd,Alex P,Calgary,122.39,100.39,Approved,Steve,2023-09-03,Yes
INV1095,RoadX,Leah T,Toronto,2097.98,2097.98,Approved,David,2023-02-20,No
INV1096,,Naman Goyal,Toronto,2112.5,2112.5,Approved,David,2023-07-22,No
INV1097,RoadX,Ravi K,Calgary,4482.4,4482.4,Flagged,Steve,2023-07-18,No
INV1098,QuickMove,John D,Montreal,421.69,421.69,Approved,Nora,2023-01-30,No
INV1099,QuickMove,,Montreal,2702.99,2702.99,Approved,Nora,2023-10-19,No
INV1100,RoadX,John D,Calgary,767.06,767.06,Flagged,Steve,2023-12-04,No
INV1101,QuickMove,John D,Calgary,3345.24,3345.24,Approved,Steve,2023-06-15,No
INV1102,AB Trucks,Sonia M,Vancouver,3982.05,3982.05,Flagged,Maria,2023-04-18,No
INV1103,ABC Corp,Leah T,Vancouver,3245.6,3234.6,Flagged,Maria,2023-04-28,Yes
INV1104,RoadX,Naman Goyal,Vancouver,3993.47,3993.47,Pending,Maria,2023-03-22,No
INV1105,GreenLine,Sonia M,Vancouver,3076.73,3076.73,Approved,Maria,2023-01-18,No
INV1106,GreenLine,Naman Goyal,Windsor,1030.21,1030.21,Flagged,Kathy,2023-05-13,No
INV1107,XYZ Ltd,Leah T,Windsor,1975.05,1975.05,Pending,Kathy,2023-09-09,No
INV1108,QuickMove,John D,Montreal,4788.66,4788.66,Flagged,Nora,2023-12-15,No
INV1109,GreenLine,Naman Goyal,Windsor,1512.06,1512.06,Approved,Kathy,2023-07-29,No
INV1110,XYZ Ltd,Leah T,Windsor,408.03,369.03,Pending,Kathy,2023-10-07,Yes
INV1111,ABC Corp,Leah T,Vancouver,1985.67,1985.67,Flagged,Maria,2023-07-08,No
INV1112,AB Trucks,Ravi K,Vancouver,1894.9,1894.9,Pending,Maria,2023-11-12,No
INV1113,AB Trucks,Sonia M,Calgary,2404.51,2404.51,Approved,Steve,2023-02-04,No
INV1114,AB Trucks,Ravi K,Vancouver,2845.49,2795.49,Flagged,Maria,2023-05-16,Yes
INV1115,GreenLine,John D,Calgary,4962.87,4962.87,Approved,Steve,2023-05-16,No
INV1116,ABC Corp,Sonia M,Calgary,3805.55,3805.55,Flagged,Steve,2023-07-13,No
INV1117,GreenLine,John D,Windsor,275.86,275.86,Pending,Kathy,2023-03-26,No
INV1118,QuickMove,Ravi K,Vancouver,3592.29,3592.29,,Maria,2023-09-02,No
INV1119,GreenLine,Leah T,Windsor,4138.74,4138.74,Pending,Kathy,2023-06-18,No
INV1120,ABC Corp,John D,Vancouver,4488.59,4488.59,Flagged,Maria,2023-03-26,No
INV1121,ABC Corp,Sonia M,Windsor,2177.63,2177.63,Flagged,Kathy,2023-03-21,No
INV1122,QuickMove,Sonia M,Windsor,1636.77,1636.77,Approved,Kathy,2023-12-16,No
INV1123,ABC Corp,John D,Windsor,4212.69,4234.69,Approved,Kathy,2023-07-17,Yes
INV1124,ABC Corp,Sonia M,Montreal,3910.32,3910.32,Flagged,Nora,,No
INV1125,AB Trucks,Leah T,Windsor,2726.61,2726.61,Pending,Kathy,2023-01-09,No
INV1126,QuickMove,Leah T,Toronto,677.63,677.63,Flagged,David,2023-10-10,No
INV1127,FastShip,Sonia M,Toronto,3293.63,3296.63,Pending,David,2023-09-20,Yes
INV1128,FastShip,John D,Toronto,421.77,421.77,Approved,David,2023-10-18,No
INV1129,ABC Corp,Ravi K,Calgary,591.8,591.8,Pending,Steve,2023-07-17,No
INV1130,FastShip,Sonia M,Windsor,1722.59,1722.59,Flagged,Kathy,2023-03-31,No
INV1131,FastShip,Sonia M,Toronto,1918.76,1918.76,Pending,David,2023-09-06,No
INV1132,ABC Corp,Sonia M,Calgary,2363.67,2363.67,Approved,Steve,2023-05-08,No
INV1133,FastShip,Sonia M,Toronto,1761.8,1761.8,Pending,David,2023-07-25,No
INV1134,GreenLine,John D,Vancouver,265.56,265.56,Flagged,Maria,2023-02-09,No
INV1135,XYZ Ltd,Ravi K,Montreal,871.34,871.34,Flagged,Nora,2023-03-24,No
INV1136,QuickMove,Ravi K,Windsor,664.05,664.05,Pending,Kathy,2023-11-17,No
INV1137,XYZ Ltd,Naman Goyal,Montreal,2212.8,2212.8,Flagged,Nora,2023-04-14,No
INV1138,ABC Corp,Sonia M,Montreal,1139.43,1139.43,Approved,Nora,2023-01-07,No
INV1139,AB Trucks,Sonia M,Vancouver,1538.37,1538.37,Pending,Maria,2023-02-12,No
INV1140,QuickMove,Naman Goyal,Vancouver,2410.68,2386.68,Pending,Maria,2023-04-02,Yes
INV1141,ABC Corp,Ravi K,Vancouver,1254.25,1254.25,Pending,Maria,2023-02-18,No
INV1142,AB Trucks,Alex P,Calgary,1305.05,1305.05,Flagged,Steve,,No
INV1143,XYZ Ltd,Leah T,Toronto,4182.41,4182.41,Pending,David,,No
INV1144,ABC Corp,Alex P,Windsor,2785.63,2785.63,Pending,Kathy,2023-07-02,No
INV1145,QuickMove,Ravi K,Vancouver,4298.12,4298.12,Pending,Maria,2023-09-14,No
INV1146,QuickMove,Sonia M,Windsor,2621.18,2621.18,Pending,Kathy,2023-04-18,No
INV1147,RoadX,Alex P,Windsor,4555.39,4555.39,Approved,Kathy,2023-10-26,No
INV1148,GreenLine,John D,Windsor,1348.24,1348.24,Flagged,Kathy,2023-01-13,No
INV1149,FastShip,John D,Vancouver,3121.68,3121.68,Approved,Maria,2023-06-08,No
INV1150,AB Trucks,Naman Goyal,Vancouver,2565.84,2565.84,Pending,Maria,2023-08-15,No
INV1151,RoadX,Ravi K,Toronto,4601.59,4601.59,Flagged,David,2023-03-20,No
INV1152,FastShip,Ravi K,Vancouver,2150.55,2150.55,,Maria,2023-08-02,No
INV1153,FastShip,Alex P,Vancouver,4288.64,4288.64,Approved,Maria,2023-06-16,No
INV1154,,Sonia M,Windsor,2863.13,2863.13,Pending,Kathy,2023-12-03,No
INV1155,FastShip,Ravi K,Toronto,3571.86,3571.86,Approved,David,2023-12-31,No
INV1156,GreenLine,Alex P,Montreal,4445.78,4445.78,Approved,Nora,2023-10-11,No
INV1157,QuickMove,Alex P,Vancouver,4984.84,4984.84,Flagged,Maria,2023-10-14,No
INV1158,RoadX,Leah T,Vancouver,3682.58,3730.58,Pending,Maria,2023-05-21,Yes
INV1159,FastShip,Leah T,Montreal,1641.16,1658.16,Pending,Nora,2024-01-01,Yes
INV1160,ABC Corp,Ravi K,Windsor,1565.16,1595.16,Pending,Kathy,2023-12-30,Yes
INV1161,GreenLine,Alex P,Toronto,1614.61,1600.61,Flagged,David,2023-04-19,Yes
INV1162,XYZ Ltd,Naman Goyal,Windsor,579.75,608.75,Approved,Kathy,2023-12-27,Yes
INV1163,QuickMove,Naman Goyal,Calgary,362.63,362.63,Flagged,Steve,2023-06-14,No
INV1164,QuickMove,Leah T,Vancouver,2946.13,2946.13,Flagged,Maria,2023-09-18,No
INV1165,RoadX,Ravi K,Calgary,4071.88,4071.88,Approved,Steve,2023-01-29,No
INV1166,QuickMove,Sonia M,Vancouver,277.06,277.06,Pending,Maria,2023-08-27,No
INV1167,FastShip,Naman Goyal,Calgary,2876.51,2876.51,Approved,Steve,2023-10-22,No
INV1168,ABC Corp,Naman Goyal,Montreal,1921.63,1921.63,Approved,Nora,2023-05-16,No
INV1169,QuickMove,Leah T,Vancouver,4473.18,4427.18,Approved,Maria,2023-10-01,Yes
INV1170,QuickMove,Leah T,Vancouver,812.4,812.4,Pending,Maria,2023-10-09,No
INV1171,XYZ Ltd,Ravi K,Calgary,2860.82,2860.82,Approved,Steve,2023-03-06,No
INV1172,XYZ Ltd,Leah T,Toronto,4857.51,4857.51,Flagged,David,2023-08-10,No
INV1173,AB Trucks,John D,Calgary,1790.66,1790.66,Approved,Steve,2023-03-04,No
INV1174,GreenLine,Alex P,Vancouver,3734.71,3734.71,,Maria,2023-07-25,No
INV1175,FastShip,Naman Goyal,Vancouver,4424.01,4424.01,Flagged,Maria,2023-02-24,No
INV1176,QuickMove,John D,Toronto,1012.43,1012.43,Pending,David,,No
INV1177,QuickMove,Sonia M,Windsor,4963.38,4963.38,Flagged,Kathy,2023-10-26,No
INV1178,ABC Corp,John D,Toronto,4065.99,4065.99,Pending,David,2023-09-12,No
INV1179,AB Trucks,Ravi K,Windsor,774.06,774.06,Pending,Kathy,2023-02-22,Yes
INV1180,GreenLine,Sonia M,Vancouver,1623.34,1623.34,Pending,Maria,2023-05-19,No
INV1181,AB Trucks,Sonia M,Montreal,3162.35,3162.35,Pending,Nora,2023-10-01,No
INV1182,RoadX,Leah T,Montreal,4436.1,4436.1,Flagged,Nora,2023-05-13,No
INV1183,GreenLine,John D,Calgary,1054.69,1054.69,Pending,Steve,2023-06-10,No
INV1184,QuickMove,Ravi K,Toronto,3682.91,3712.91,Flagged,David,2023-11-27,Yes
INV1185,QuickMove,Naman Goyal,Toronto,1426.18,1378.18,Approved,David,2023-01-16,Yes
INV1186,GreenLine,Leah T,Montreal,4046.54,4046.54,Flagged,Nora,2023-09-23,No
INV1187,QuickMove,John D,Windsor,3448.87,3448.87,Approved,Kathy,2023-11-25,No
INV1188,FastShip,Naman Goyal,Toronto,2662.25,2705.25,Flagged,David,2023-03-13,Yes
INV1189,GreenLine,John D,Windsor,3284.34,3265.34,Approved,Kathy,2023-09-16,Yes
INV1190,AB Trucks,Leah T,Windsor,4394.58,4394.58,Flagged,Kathy,2023-02-28,No
INV1191,GreenLine,Naman Goyal,Windsor,1993.49,1993.49,Flagged,Kathy,2023-08-20,No
INV1192,QuickMove,Leah T,Windsor,3869.33,3834.33,Flagged,Kathy,2023-07-06,Yes
INV1193,FastShip,John D,Calgary,878.64,878.64,Flagged,Steve,2023-11-26,No
INV1194,FastShip,Sonia M,Calgary,3535.81,3535.81,Approved,Steve,2023-06-25,No
INV1195,RoadX,Alex P,Montreal,3778.22,3772.22,Pending,Nora,2023-05-17,Yes
INV1196,AB Trucks,Sonia M,Calgary,2270.69,2270.69,Flagged,Steve,2023-03-29,No
INV1197,XYZ Ltd,Leah T,Toronto,3988.75,3988.75,Approved,David,2023-11-21,No
INV1198,XYZ Ltd,Leah T,Calgary,2829.81,2829.81,Flagged,Steve,2023-05-10,No
INV1199,GreenLine,Leah T,Toronto,4687.74,4687.74,Pending,David,2023-04-05,No
INV1200,RoadX,Naman Goyal,Toronto,651.09,651.09,Approved,David,2023-03-29,No
INV1201,ABC Corp,,Windsor,741.02,785.02,Approved,Kathy,2023-05-25,Yes
INV1202,GreenLine,Leah T,Montreal,4227.89,4227.89,Approved,Nora,2023-09-25,No
INV1203,RoadX,Sonia M,Windsor,4227.57,4227.57,Flagged,Kathy,2023-05-27,No
INV1204,,Alex P,Windsor,2409.0,2409.0,,Kathy,2023-12-22,No
INV1205,AB Trucks,Leah T,Calgary,4823.41,4823.41,Pending,Steve,2023-01-01,No
INV1206,AB Trucks,Leah T,Calgary,3429.01,3429.01,Pending,Steve,2023-04-17,No
INV1207,AB Trucks,Leah T,Toronto,4915.98,4939.98,Flagged,David,2023-12-05,Yes
INV1208,AB Trucks,Naman Goyal,Calgary,2708.74,2708.74,Flagged,Steve,2023-12-09,No
INV1209,RoadX,Leah T,Calgary,1087.91,1087.91,Approved,Steve,2023-12-12,No
INV1210,RoadX,Sonia M,Vancouver,2277.53,2320.53,Flagged,Maria,2023-11-04,Yes
INV1211,FastShip,John D,Toronto,4904.39,4904.39,Approved,David,2023-12-03,No
INV1212,XYZ Ltd,Ravi K,Toronto,1915.03,1915.03,Pending,David,2023-10-23,No
INV1213,QuickMove,Leah T,Vancouver,4789.38,4789.38,Flagged,Maria,2023-04-30,No
INV1214,AB Trucks,Naman Goyal,Toronto,4005.4,4005.4,Pending,David,2023-04-23,No
INV1215,ABC Corp,Sonia M,Montreal,2266.32,2266.32,Flagged,Nora,2023-03-26,No
INV1216,QuickMove,Leah T,Montreal,2755.17,2755.17,Flagged,Nora,2023-06-14,No
INV1217,RoadX,Naman Goyal,Vancouver,3076.45,3091.45,Approved,Maria,2023-08-31,Yes
INV1218,ABC Corp,John D,Calgary,3362.25,3362.25,Flagged,Steve,2023-11-05,No
INV1219,ABC Corp,Alex P,Montreal,475.83,475.83,Pending,Nora,2023-04-23,No
INV1220,ABC Corp,Leah T,Vancouver,4674.58,4674.58,Flagged,Maria,2023-02-01,No
INV1221,FastShip,Sonia M,Montreal,3025.3,3025.3,Pending,Nora,2023-12-05,Yes
INV1222,RoadX,Naman Goyal,Windsor,4662.63,4662.63,Flagged,Kathy,2023-02-06,No
INV1223,ABC Corp,Naman Goyal,Vancouver,3196.3,3196.3,Pending,Maria,2023-07-17,No
INV1224,,Leah T,Toronto,2211.98,2211.98,Pending,David,2023-01-05,Yes
INV1225,GreenLine,Naman Goyal,Montreal,2877.95,2877.95,Pending,Nora,2023-07-29,No
INV1226,ABC Corp,Alex P,Toronto,4164.57,4164.57,Flagged,David,2023-03-12,No
INV1227,FastShip,Naman Goyal,Vancouver,1698.02,1698.02,Approved,Maria,2023-02-23,No
INV1228,QuickMove,Ravi K,Montreal,4786.65,4800.65,Pending,Nora,2023-08-02,Yes
INV1229,RoadX,Ravi K,Toronto,2383.18,2383.18,Pending,David,2023-07-02,No
INV1230,FastShip,Naman Goyal,Calgary,4785.56,4785.56,Approved,Steve,2023-03-07,No
INV1231,ABC Corp,Leah T,Calgary,4415.71,4415.71,Pending,Steve,2023-10-19,No
INV1232,RoadX,Ravi K,Windsor,3861.54,3861.54,Pending,Kathy,2023-10-26,No
INV1233,GreenLine,Sonia M,Vancouver,2390.45,2390.45,Flagged,Maria,2023-05-25,No
INV1234,ABC Corp,Ravi K,Toronto,2976.03,2938.03,Approved,David,2023-12-21,Yes
INV1235,FastShip,Naman Goyal,Windsor,4206.34,4206.34,Pending,Kathy,2023-04-26,No
INV1236,XYZ Ltd,Leah T,Vancouver,2765.87,2765.87,Flagged,Maria,2023-10-28,No
INV1237,AB Trucks,John D,Calgary,3717.13,3717.13,Flagged,Steve,2023-05-26,No
INV1238,QuickMove,Leah T,Toronto,3974.23,4017.23,Flagged,David,2023-08-27,Yes
INV1239,FastShip,Leah T,Montreal,2614.17,2614.17,Flagged,Nora,2023-08-01,No
INV1240,RoadX,Leah T,Calgary,2727.61,2727.61,Approved,Steve,2023-09-12,No
INV1241,ABC Corp,Sonia M,Montreal,1069.39,1066.39,Approved,Nora,2023-10-11,Yes
INV1242,AB Trucks,Alex P,Montreal,1299.22,1299.22,Flagged,Nora,2023-11-26,No
INV1243,ABC Corp,Naman Goyal,Toronto,4534.22,4535.22,Approved,David,2023-07-26,Yes
INV1244,RoadX,Alex P,Toronto,4217.62,4217.62,Flagged,David,2023-07-07,No
INV1245,ABC Corp,John D,Montreal,149.6,149.6,Pending,Nora,2023-06-20,No
INV1246,XYZ Ltd,Alex P,Windsor,4360.0,4360.0,Pending,Kathy,2023-01-08,Yes
INV1247,AB Trucks,Naman Goyal,Montreal,223.65,223.65,Flagged,Nora,2023-05-29,No
INV1248,AB Trucks,Naman Goyal,Montreal,2345.57,2345.57,Pending,Nora,2023-02-19,No
INV1249,RoadX,John D,Toronto,430.42,430.42,Flagged,David,,No
INV1250,QuickMove,Naman Goyal,Vancouver,4847.23,4847.23,Pending,Maria,2023-07-23,No
INV1251,XYZ Ltd,John D,Calgary,4864.36,4864.36,Pending,Steve,2023-06-08,No
INV1252,FastShip,John D,Toronto,3093.27,3093.27,Approved,David,2023-03-09,No
INV1253,ABC Corp,Naman Goyal,Windsor,2021.8,2021.8,Flagged,Kathy,2023-07-10,No
INV1254,GreenLine,Ravi K,Calgary,2608.76,2608.76,Approved,Steve,2023-01-15,Yes
INV1255,ABC Corp,John D,Toronto,3835.27,3835.27,Flagged,David,2023-03-10,No
INV1256,ABC Corp,Naman Goyal,Toronto,1193.65,1190.65,Pending,David,2023-04-23,Yes
INV1257,FastShip,Ravi K,Vancouver,2264.44,2264.44,Flagged,Maria,2023-11-19,No
INV1258,ABC Corp,John D,Windsor,3712.62,3712.62,Flagged,Kathy,2023-12-17,No
INV1259,XYZ Ltd,Ravi K,Windsor,2037.42,2023.42,Flagged,Kathy,2023-06-09,Yes
INV1260,XYZ Ltd,Sonia M,Toronto,256.78,256.78,Flagged,David,2023-04-04,Yes
INV1261,AB Trucks,Leah T,Vancouver,2586.23,2603.23,Pending,Maria,2023-07-04,Yes
INV1262,RoadX,Sonia M,Toronto,3713.31,3686.31,Pending,David,2023-07-23,Yes
INV1263,QuickMove,Ravi K,Montreal,4886.4,4886.4,Approved,Nora,2023-01-12,No
INV1264,GreenLine,John D,Montreal,281.53,281.53,Flagged,Nora,2023-10-15,No
INV1265,ABC Corp,Naman Goyal,Vancouver,2745.61,2745.61,Approved,Maria,2023-12-02,No
INV1266,ABC Corp,Alex P,Toronto,2304.7,2304.7,Pending,David,2023-12-19,No
INV1267,FastShip,Naman Goyal,Vancouver,1288.0,1288.0,Pending,Maria,2023-10-17,No
INV1268,RoadX,Alex P,Toronto,3225.04,3225.04,Flagged,David,2023-07-11,No
INV1269,XYZ Ltd,Alex P,Toronto,901.75,916.75,Flagged,David,2023-05-30,Yes
INV1270,GreenLine,John D,Montreal,1490.94,1490.94,Approved,Nora,2023-05-06,No
INV1271,AB Trucks,Ravi K,Calgary,3930.61,3930.61,Pending,Steve,2023-08-14,No
INV1272,XYZ Ltd,Naman Goyal,Windsor,2356.02,2356.02,Approved,Kathy,2023-12-15,No
INV1273,RoadX,Ravi K,Windsor,4968.99,4968.99,Pending,Kathy,2023-07-17,No
INV1274,QuickMove,Sonia M,Vancouver,1993.66,1993.66,Pending,Maria,2023-04-02,No
INV1275,AB Trucks,John D,Windsor,2369.98,2369.98,Approved,Kathy,2023-05-20,No
INV1276,QuickMove,John D,Montreal,1571.26,1571.26,Pending,Nora,2023-12-22,No
INV1277,FastShip,Sonia M,Calgary,1257.84,1257.84,Pending,Steve,2023-03-02,No
INV1278,FastShip,Naman Goyal,Toronto,4619.18,4635.18,Approved,David,2023-05-07,Yes
INV1279,ABC Corp,Leah T,Toronto,3769.25,3769.25,Pending,David,2023-05-06,No
INV1280,QuickMove,Sonia M,Montreal,1733.67,1733.67,Approved,Nora,2023-09-07,No
INV1281,RoadX,Naman Goyal,Windsor,3530.76,3518.76,Flagged,Kathy,2023-01-10,Yes
